corp_name,corp_uid,original_name,lat,lng,location,nace_code,postcode,street,nh3_yeartotal,nh3_2015,has_local_subsidies,has_subsidies,local_subsidies,total_subsidies
Letschiner Agrar GmbH,32000634-26b0-4993-848d-95909f93ffa2,Letschiner Agrar GmbH,52.631517689755896,14.3967641687201,Letschin,147.0,15324,Quappendorferstraße 2,109700.0,28800.0,1,1,1600390.2999999998,1600390.2999999998
"Westers, Rainer",e21256e6-a806-4054-a648-5326e862d1df,"Westers, Rainer",52.1554091312532,7.45152449649351,Steinfurt,146.0,48565,Ostendorf 91,46400.0,11600.0,1,1,40320.57,40320.57
Gut Jäglitz GmbH & Co. Brügge KG,0ac7707e-5ed3-4a63-88fa-ac5df5fee5cd,Gut Jäglitz GmbH & Co. Agrar KG,53.2454459189795,12.2625210291943,Halenbeck-Rohlsdorf,147.0,16945,Flur 1,152100.0,32400.0,0,0,0.0,0.0
Agrarprodukte Löbnitz GmbH,823e98d5-c3c2-4f37-ae60-cb9775ccc070,"Agrarprodukte Löbnitz GmbH, SZA Löbnitz",51.585698289590795,12.461666092253301,Löbnitz,146.0,04509,Delitzscher Str. 32,66300.0,13400.0,0,0,0.0,0.0
Horst-Friedrich Hölling,5fed0d1a-4cfa-49d3-8026-e9f19d50ff07,Horst-Friedrich Hölling,52.09003116397861,9.61460390208743,Salzhemmendorf,146.0,31020,Gemarkung Hemmendorf Flur 4,80000.0,16000.0,1,1,180262.65,180262.65
Ralf Schneider,0cb3591c-f7b2-4dbe-98c5-d1baa8eae89d,Gemischte Tierhaltung Hohen Wangelin,53.618556170352,12.4639001704981,Hohen Wangelin,146.0,17194,Malchower Chaussee 1,103000.0,24500.0,1,1,2002710.5999999999,2002710.5999999999
Ralf Schneider,0cb3591c-f7b2-4dbe-98c5-d1baa8eae89d,Gut Tier- und Pflanzenproduktion GmbH Rövershagen Schweineanlage,54.170607222696106,12.2723071190396,Rövershagen,146.0,18182,Haus 12a,188500.0,41200.0,1,1,2002710.5999999999,2002710.5999999999
Landgut Heideland e.G.,34f08a29-02e5-407a-9fd6-4d28d4a4cd65,Landgut Heideland,51.801502057061704,13.091558153446698,Jessen OT Mönchenhöfe,146.0,06917,Mönchenhöfner Dorfstraße 2,182800.0,39800.0,0,0,0.0,0.0
Leicoma PIG-Zucht GmbH Polkenberg,3a6efce1-a133-4fe6-8d04-b68924e8439b,"Leicoma PIG-Zucht GmbH Polkenberg, SZA Görnitz",51.1868502250048,12.9387749999449,Bockelwitz,146.0,04703,Mügelner Landstraße 1,68400.0,14500.0,0,0,0.0,0.0
Agp-GmbH Lübesse,77e6f4a6-abab-4114-bf89-c00c32539d33,Agp-mbH Agrarproduktgesellschaft,53.501004701257706,11.0684891844055,Wittenburg,150.0,19243,Lehsener Str. 5,198500.0,39700.0,0,0,0.0,0.0
Agrargenossenschaft  Gräfendorf e.G.,87bd8226-dd53-4adc-aedc-791ff079857d,Schweinemastanlage Großrössen,51.6308693824819,13.2416737653531,Falkenberg/Elster,146.0,04895,Südstraße None,70000.0,14000.0,0,0,0.0,0.0
Hansen Broilermast GmbH & Co. KG,acb3d54f-9c27-4df3-9360-8af2e889e6e5,Hansen Broilermast GmbH & Co. KG,53.0017202794522,7.255133625421799,Heede,147.0,26892,Birkenweg 20,119500.0,25700.0,1,1,46059.119999999995,46059.119999999995
Gisela Schulze Tenkhoff,7bc745f0-de3b-4c89-bd58-f012880d3586,"Schulze Tenkhoff, Gisela",51.7319664219482,7.96430469828328,Beckum,146.0,59269,Elker 8,67200.0,11700.0,1,1,108994.21999999999,108994.21999999999
