sid,median,mean,len,station_id,bundesland,state,lat,lng
bayern_1131552700024,3.6,4.159999999999999,5.0,1131552700024,bayern,Bayern,50.487485626991386,10.2455636725935
bayern_1131563200095,79.0,79.0,1.0,1131563200095,bayern,Bayern,50.312062565992896,11.1042310794101
bayern_1131573300041,3.6,4.0200000000000005,5.0,1131573300041,bayern,Bayern,50.2580390574712,11.217430206564801
bayern_1131582800013,1.7,1.524,5.0,1131582800013,bayern,Bayern,50.1052931756289,10.4958141809098
bayern_1131583300049,80.6,79.77000000000001,5.0,1131583300049,bayern,Bayern,50.14922137818271,11.212210388759699
bayern_1131583400056,2.8,2.6399999999999997,5.0,1131583400056,bayern,Bayern,50.1925631501948,11.393550263401101
bayern_1131583700057,9.1,9.1,5.0,1131583700057,bayern,Bayern,50.1347255415087,11.861446740517302
bayern_1131593100020,66.7,68.49,5.0,1131593100020,bayern,Bayern,50.0299663987142,10.9168812428941
bayern_1131593900073,1.3,3.0100000000000002,5.0,1131593900073,bayern,Bayern,50.06988218961561,12.212231557676802
bayern_1131602200016,3.2,3.2,5.0,1131602200016,bayern,Bayern,49.9026274598549,9.44689475048022
bayern_1131602600012,54.15000000000001,54.260000000000005,5.0,1131602600012,bayern,Bayern,49.9830042800853,10.1245379349439
bayern_1131602600035,0.25,0.28,5.0,1131602600035,bayern,Bayern,49.9260523614264,9.99861267716049
bayern_1131602700006,101.5,100.7,5.0,1131602700006,bayern,Bayern,49.9011747699829,10.2989336307279
bayern_1131602700017,0.7175,0.7175,2.0,1131602700017,bayern,Bayern,49.992434745807294,10.2092470282769
bayern_1131603000044,13.35,17.05,5.0,1131603000044,bayern,Bayern,49.934114114673214,10.7713799338527
bayern_1131604000153,1.2,1.22,5.0,1131604000153,bayern,Bayern,49.914039107036,12.341028974390197
bayern_1131613000018,24.25,24.400000000000002,5.0,1131613000018,bayern,Bayern,49.84015342438371,10.814078384134099
bayern_1131613100135,38.05,38.05,2.0,1131613100135,bayern,Bayern,49.8387570023487,10.9489601776108
bayern_1131613600035,0.25,0.36,5.0,1131613600035,bayern,Bayern,49.863130914374715,11.803806316711901
bayern_1131623100040,60.5,60.61,5.0,1131623100040,bayern,Bayern,49.7517353845856,10.9702686065552
bayern_1131623200040,0.25,0.29,5.0,1131623200040,bayern,Bayern,49.79274918364021,11.034675909821699
bayern_1131623300041,4.9,5.340000000000001,5.0,1131623300041,bayern,Bayern,49.767751471904894,11.173985541498402
bayern_1131623700027,4.2,4.3,5.0,1131623700027,bayern,Bayern,49.728414742175396,11.931950664379402
